ID,Path,Category,SubCategory,Location,Description,Spec,Dimensions,Finish
,Schedule\MWR\Nephrolepis exaltata 'Bostoniensis‘.jpg,Vegetation,Plant,,300,Nephrolepis Exaltata 'Bostoniensis‘,波士頓腎蕨,Fern
,Schedule\MWR\Nymphaea tetragona.jpg,Vegetation,Plant,,400,Nymphaea Tetragona,睡蓮,Aquatic
,Schedule\MWR\Osmanthus fragrans var. aurantiacus.jpg,Vegetation,Tree,,4000,Osmanthus Fragrans Var. Aurantiacus,丹桂,
,Schedule\MWR\Osmanthus fragrans var. semperflorens.jpg,Vegetation,Tree,,4000,Osmanthus Fragrans Var. Semperflorens,四季桂,
,Schedule\MWR\Pennisetum alopecuroides ‘Little Bunny’.jpg,Vegetation,Grass,,300,Pennisetum Alopecuroides ‘Little Bunny’,小兔子狼尾草,Ornamental
,Schedule\MWR\Pennisetum alopecuroides 'Viridescens'.jpg,Vegetation,Grass,,400,Pennisetum Alopecuroides 'Viridescens',狼尾草,Ornamental
,Schedule\MWR\Peperomia Obtusifolia 圓葉椒草 青葉碧玉.jpg,Vegetation,Plant,,S180 H180,Peperomia Obtusifolia,圓葉椒草 青葉碧玉,
,Schedule\MWR\Philodendron Green Congo.jpg,Vegetation,Plant,,600,Philodendron Green Congo,剛果蔓綠絨,BigLeaf
,Schedule\MWR\Philodendron Imperial Red.jpg,Vegetation,Plant,,600,Philodendron Imperial Red,紅帝王蔓綠絨,BigLeaf
,Schedule\MWR\Philodendron selloum.jpg,Vegetation,Plant,,600,Philodendron Selloum,蔓綠絨,BigLeaf
,Schedule\MWR\Phormium ‘Pink Stripe’.jpg,Vegetation,Grass,Pink,600,Phormium ‘Pink Stripe’,粉紋麻蘭,
,Schedule\MWR\Phormium tenax.jpg,Vegetation,Grass,,600,Phormium Tenax,新西蘭麻,
,Schedule\MWR\Photinia × fraseri Dress.jpg,Vegetation,Plant,,2500,Photinia × Fraseri Dress,紅葉石楠,CLIPPED HEDGE 
,Schedule\MWR\Photinia × fraseri.jpg,Vegetation,Tree,,2500/1800,Photinia × Fraseri,紅葉石楠,
,Schedule\MWR\Phyllanthus myrtifolius.jpg,Vegetation,Plant,,300,Phyllanthus Myrtifolius,錫蘭葉下珠,Edge Weeper
,Schedule\MWR\Pittosporum tobira variegate.jpg,Vegetation,Hedge,,750,Pittosporum Tobira Variegate,銀葉海桐花,SPHERICAL 
,Schedule\MWR\Pittosporum Tobira Wheelers Dwarf.jpg,Vegetation,Hedge,,1000,Pittosporum Tobira Wheelers Dwarf,海桐,
,Schedule\MWR\Pittosporum tobira.jpg,Vegetation,Hedge,,1000,Pittosporum Tobira,海桐,SPHERICAL 
,Schedule\MWR\Plumbago auriculata.png,Vegetation,Flower,Blue,400,Plumbago Auriculata.Png,日本胡枝子,
,Schedule\MWR\Podranea ricasoliana.jpg,Vegetation,Flower,,300,Podranea Ricasoliana,藍雪花,
,Schedule\MWR\Prunus campanulata.jpg,Vegetation,Tree,Pink,3500,Prunus Campanulata,鐘花櫻桃,
,Schedule\MWR\Prunus yunnanensis ‘Guangzhou’.jpeg,Vegetation,Tree,Pink,3000,Prunus Yunnanensis ‘Guangzhou’.Jpeg,廣州櫻,
,Schedule\MWR\Salvia uliginosa Benth.jpg,Vegetation,Grass,,400,Salvia Uliginosa Benth,天藍鼠尾草,Ornamental
,Schedule\MWR\Schefflera Arboricola 青八葉 鵝掌藤.jpg,Vegetation,Plant,,S180 H180,Schefflera Arboricola,青八葉 鵝掌藤,
,Schedule\MWR\Schefflera arboricola.JPG,Vegetation,Plant,,400,Schefflera Arboricola,鵝掌柴,
,Schedule\MWR\Schima superba.jpg,Vegetation,Tree,,3500,Schima Superba,木荷,SmallTree
,Schedule\MWR\Sterculia lanceolata.jpg,Vegetation,Tree,,4000,Sterculia Lanceolata,假蘋婆,
,Schedule\MWR\Strelitzia nicolai.jpg,Vegetation,Plant,Bird of Paradise,1750,Strelitzia Nicolai,大鶴望蘭,BigLeaf
,Schedule\MWR\Strelitzia reginae.jpg,Vegetation,Plant,Bird of Paradise,600,Strelitzia Reginae,鶴望蘭,BigLeaf
,Schedule\MWR\Tabebuia chrysantha.jpg,Vegetation,Tree,,5000,Tabebuia Chrysantha,黃花風鈴木,
,Schedule\MWR\Terminalia mantaly ‘Tricolour’.jpg,Vegetation,Tree,,4000,Terminalia Mantaly ‘Tricolour’,花葉欖仁,
,Schedule\MWR\Tibouchina urvilleana.jpg,Vegetation,Flower,Purple,400,Tibouchina Urvilleana,天藍鼠尾草,
,Schedule\MWR\tm - terminalia mantaly.jpg,Vegetation,Tree,,5000,Terminalia Mantaly,小葉欖仁,
,Schedule\MWR\Tulbaghia violacea.jpg,Vegetation,Plant,,200,Tulbaghia Violacea,紫嬌花,
,Schedule\MWR\Viburnum awabuki.jpg,Vegetation,Tree,,2500,Viburnum Awabuki,日本珊瑚樹,
,Schedule\MWR\xanthostemon chrysanthus.jpg,Vegetation,Tree,,5000,Xanthostemon Chrysanthus,金蒲桃,
,Schedule\MWR\Zoysia matrella.jpg,Vegetation,Plant,,,Zoysia Matrella,溝葉結縷草,
